Timp (secunde);Stare (1=Low, 0=High);Eticheta
0;0;High Beam
0,03;0;High Beam
0,07;0;High Beam
0,1;0;High Beam
0,13;0;High Beam
0,17;0;High Beam
0,2;0;High Beam
0,23;0;High Beam
0,27;0;High Beam
0,3;0;High Beam
0,33;0;High Beam
0,37;0;High Beam
0,4;0;High Beam
0,43;0;High Beam
0,47;0;High Beam
0,5;0;High Beam
0,53;0;High Beam
0,57;0;High Beam
0,6;0;High Beam
0,63;0;High Beam
0,67;0;High Beam
0,7;0;High Beam
0,73;0;High Beam
0,77;0;High Beam
0,8;0;High Beam
0,83;0;High Beam
0,87;0;High Beam
0,9;0;High Beam
0,93;0;High Beam
0,97;0;High Beam
1;0;High Beam
1,03;0;High Beam
1,07;0;High Beam
1,1;0;High Beam
1,13;0;High Beam
1,17;0;High Beam
1,2;0;High Beam
1,23;0;High Beam
1,27;0;High Beam
1,3;0;High Beam
1,33;0;High Beam
1,37;0;High Beam
1,4;0;High Beam
1,43;0;High Beam
1,47;0;High Beam
1,5;0;High Beam
1,53;0;High Beam
1,57;0;High Beam
1,6;0;High Beam
1,63;0;High Beam
1,67;0;High Beam
1,7;0;High Beam
1,73;0;High Beam
1,77;0;High Beam
1,8;0;High Beam
1,83;0;High Beam
1,87;0;High Beam
1,9;1;Low Beam
1,93;1;Low Beam
1,97;1;Low Beam
2;1;Low Beam
2,03;1;Low Beam
2,07;1;Low Beam
2,1;1;Low Beam
2,13;1;Low Beam
2,17;1;Low Beam
2,2;1;Low Beam
2,23;1;Low Beam
2,27;1;Low Beam
2,3;1;Low Beam
2,33;1;Low Beam
2,37;1;Low Beam
2,4;1;Low Beam
2,43;1;Low Beam
2,47;1;Low Beam
2,5;1;Low Beam
2,53;1;Low Beam
2,57;1;Low Beam
2,6;1;Low Beam
2,63;1;Low Beam
2,67;1;Low Beam
2,7;1;Low Beam
2,73;1;Low Beam
2,77;1;Low Beam
2,8;1;Low Beam
2,83;1;Low Beam
2,87;1;Low Beam
2,9;1;Low Beam
2,93;1;Low Beam
2,97;1;Low Beam
3;1;Low Beam
3,03;1;Low Beam
3,07;1;Low Beam
3,1;0;High Beam
3,13;0;High Beam
3,17;0;High Beam
3,2;0;High Beam
3,23;0;High Beam
3,27;0;High Beam
3,3;0;High Beam
3,33;0;High Beam
3,37;0;High Beam
3,4;0;High Beam
3,43;0;High Beam
3,47;0;High Beam
3,5;0;High Beam
3,53;0;High Beam
3,57;0;High Beam
3,6;0;High Beam
3,63;0;High Beam
3,67;0;High Beam
3,7;0;High Beam
3,73;0;High Beam
3,77;0;High Beam
3,8;0;High Beam
3,83;0;High Beam
3,87;0;High Beam
3,9;0;High Beam
3,93;0;High Beam
3,97;0;High Beam
4;0;High Beam
4,03;0;High Beam
4,07;1;Low Beam
4,1;1;Low Beam
4,13;1;Low Beam
4,17;0;High Beam
4,2;0;High Beam
4,23;0;High Beam
4,27;0;High Beam
4,3;0;High Beam
4,33;0;High Beam
4,37;0;High Beam
4,4;0;High Beam
4,43;0;High Beam
4,47;0;High Beam
4,5;0;High Beam
4,53;0;High Beam
4,57;0;High Beam
4,6;0;High Beam
4,63;0;High Beam
4,67;0;High Beam
4,7;0;High Beam
4,73;0;High Beam
4,77;0;High Beam
4,8;0;High Beam
4,83;0;High Beam
4,87;0;High Beam
4,9;0;High Beam
4,93;0;High Beam
4,97;0;High Beam
5;0;High Beam
5,03;0;High Beam
5,07;0;High Beam
5,1;0;High Beam
5,13;0;High Beam
5,17;0;High Beam
5,2;0;High Beam
5,23;0;High Beam
5,27;0;High Beam
5,3;0;High Beam
5,33;0;High Beam
5,37;0;High Beam
5,4;0;High Beam
5,43;0;High Beam
5,47;0;High Beam
5,5;0;High Beam
5,53;0;High Beam
5,57;0;High Beam
5,6;0;High Beam
5,63;0;High Beam
5,67;0;High Beam
5,7;0;High Beam
5,73;0;High Beam
5,77;0;High Beam
5,8;0;High Beam
5,83;0;High Beam
5,87;0;High Beam
5,9;0;High Beam
5,93;0;High Beam
5,97;0;High Beam
6;0;High Beam
